ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
7961,3493057,Active,333372,2 HR Pas 0800-1900 Mon-Thur/4Hr Pas 0800-1900 Fri,,On Street,Brooklyn,NEW UTRECHT AVENUE,W,11 AVENUE,46 STREET,40.63949106777,-73.9944660264174,985785.85748063,172260.265437484,POINT (-73.9944660264174 40.63949106777)
3675,4081964,Active,403118,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,164 STREET,E,89 AVENUE,JAMAICA AVENUE,40.7066080241822,-73.796539674389,1040660.00494997,196778.350915641,POINT (-73.796539674389 40.7066080241822)
10985,1208027,Active,114760,1HR Com Mon-Sat 0800-1900,,On Street,Manhattan,3 AVENUE,W,EAST 85 STREET,EAST 86 STREET,40.7785118031589,-73.9543533190294,996892.043273464,222912.970562309,POINT (-73.9543533190294 40.7785118031589)
12007,3083046,Active,313296,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,BRIGHTON BEACH AVENUE,N,BRIGHTON 5 STREET,BRIGHTON 6 STREET,40.5775688911616,-73.9620734165228,994785.626554549,149702.642245725,POINT (-73.9620734165228 40.5775688911616)
13703,5043029,Active,508631,2 HR Pas Mon-Sat 0900-1800,,On Street,Staten Island,PELTON AVENUE,E,CASTLETON AVENUE,FOREST AVENUE,40.6301986709084,-74.1093909602868,953886.234272137,168893.705569565,POINT (-74.1093909602868 40.6301986709084)
1177,4353021,Active,407948,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,QUEENS MIDTOWN EXPRESSWAY,S,69 STREET,69 PLACE,40.725565321712,-73.8943795104586,1013525.29904889,203637.210885555,POINT (-73.8943795104586 40.725565321712)
6505,1433015,Retired,116342,6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,WEST 48 STREET,N,5 AVENUE,AVENUE OF THE AMERICAS,40.7577739718758,-73.9791611458712,990023.207273632,215354.883316308,POINT (-73.9791611458712 40.7577739718758)
7912,3013016,Active,329267,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,ATLANTIC AVENUE,S,NEVINS STREET,3 AVENUE,40.6855089713937,-73.9814150848333,989404.360742301,189026.377902567,POINT (-73.9814150848333 40.6855089713937)
224,3113077,Active,307848,2 HR Pas Mon-Fri 0900-1900,,On Street,Brooklyn,51 STREET,S,NEW UTRECHT AVENUE,13 AVENUE,40.633972454784,-73.9934819602104,986059.117432803,170249.704497978,POINT (-73.9934819602104 40.633972454784)
609,1033097,Active,109720,2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900,,On Street,Manhattan,COLUMBUS AVENUE,W,WEST 67 STREET,WEST 68 STREET,40.7746068538268,-73.9809623410978,989522.870347798,221487.545263559,POINT (-73.9809623410978 40.7746068538268)
4828,1433934,Active,105647,3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,,On Street,Manhattan,EAST 50 STREET,S,5 AVENUE,MADISON AVENUE,40.7580934335906,-73.9762546377005,990828.39628005,215471.47855556,POINT (-73.9762546377005 40.7580934335906)
